Cohort,Variable,Period,Start_date,End_date,Reference,Avg_ridit,SE_ridit
Student,Washed my hands,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2022-08-01 to 2022-11-30,0.528939226,0.017655525
Student,Washed my hands,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2021-05-01 to 2021-08-23,0.577920037,0.022167755
Student,Washed my hands,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2021-05-01 to 2021-08-23,0.5,0.024144451
Student,Washed my hands,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2021-05-01 to 2021-08-23,0.521509815,0.024390079
Student,Washed my hands,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2021-05-01 to 2021-08-23,0.521616829,0.035907143
Student,Washed my hands,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2021-05-01 to 2021-08-23,0.6350787,0.018407855
Student,Washed my hands,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2021-05-01 to 2021-08-23,0.639576836,0.019711701
Student,Washed my hands,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2021-05-01 to 2021-08-23,0.621906357,0.020455037
Student,Washed my hands,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2021-08-23 to 2021-12-18,0.558029152,0.022234212
Student,Washed my hands,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2021-08-23 to 2021-12-18,0.478490185,0.024390079
Student,Washed my hands,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2021-08-23 to 2021-12-18,0.5,0.024589193
Student,Washed my hands,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2021-08-23 to 2021-12-18,0.49889729,0.036134653
Student,Washed my hands,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2021-08-23 to 2021-12-18,0.612034426,0.01850829
Student,Washed my hands,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2021-08-23 to 2021-12-18,0.616402804,0.019762819
Student,Washed my hands,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2021-08-23 to 2021-12-18,0.599282974,0.020518084
Student,Washed my hands,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2021-12-19 to 2022-03-28,0.559652838,0.034129225
Student,Washed my hands,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2021-12-19 to 2022-03-28,0.478383171,0.035907143
